,Company Name,Company Code,Market Cap,Price,Today's Change,Price (30 days),Country
148,Winpak,WPK.TO,$1.76 B,$27.21,0.45%,,🇨🇦 Canada
149,Chartwell Retirement Residences,CSH-UN.TO,$1.76 B,$7.32,0.99%,,🇨🇦 Canada
150,Telus International,TIXT,$1.75 B,$6.39,0.16%,,🇨🇦 Canada
151,Cogeco,CCA.TO,$1.75 B,$39.35,1.14%,,🇨🇦 Canada
152,Aritzia,ATZ.TO,$1.72 B,$15.54,1.15%,,🇨🇦 Canada
153,"H&R REIT
",HR-UN.TO,$1.72 B,$6.15,1.95%,,🇨🇦 Canada
154,Filo Mining,FIL.TO,$1.70 B,$13.01,1.69%,,🇨🇦 Canada
155,Teekay Tankers,TNK,$1.68 B,$49.70,3.26%,,🇨🇦 Canada
156,Superior Plus,SPB.TO,$1.68 B,$6.72,0.75%,,🇨🇦 Canada
157,China Gold International Resources,CGG.TO,$1.68 B,$4.25,1.34%,,🇨🇦 Canada
158,Tamarack Valley Energy,TVE.TO,$1.68 B,$3.02,1.95%,,🇨🇦 Canada
159,Richelieu Hardware,RCH.TO,$1.67 B,$29.89,0.50%,,🇨🇦 Canada
160,Fairfax India Holdings,FIH-U.TO,$1.66 B,$12.19,1.30%,,🇨🇦 Canada
161,Secure Energy Services,SES.TO,$1.62 B,$5.55,2.53%,,🇨🇦 Canada
162,Crombie Real Estate Investment Trust,CRR-UN.TO,$1.57 B,$8.78,1.84%,,🇨🇦 Canada
163,Stelco,STLC.TO,$1.55 B,$28.16,3.88%,,🇨🇦 Canada
164,Freehold Royalties,FRU.TO,$1.55 B,$10.29,0.07%,,🇨🇦 Canada
165,Altus Group,AIF.TO,$1.54 B,$33.94,0.80%,,🇨🇦 Canada
166,Uni-Select,UNS.TO,$1.53 B,$35.01,0.00%,,🇨🇦 Canada
167,"Hudbay Minerals
",HBM,$1.52 B,$4.36,0.69%,,🇨🇦 Canada
168,"Russel Metals
",RUS.TO,$1.52 B,$24.89,0.44%,,🇨🇦 Canada
169,First National Financial,FN.TO,$1.49 B,$24.93,0.69%,,🇨🇦 Canada
170,"First Majestic Silver
",AG,$1.48 B,$5.15,5.33%,,🇨🇦 Canada
171,Birchcliff Energy,BIR.TO,$1.46 B,$5.52,0.92%,,🇨🇦 Canada
172,Allied Properties REIT,AP-UN.TO,$1.46 B,$11.42,3.24%,,🇨🇦 Canada
173,Exchange Income Corporation,EIF.TO,$1.43 B,$30.73,0.79%,,🇨🇦 Canada
174,"Denison Mines
",DNN,$1.41 B,$1.62,3.18%,,🇨🇦 Canada
175,Labrador Iron Ore Royalty Corp.,LIF.TO,$1.40 B,$21.98,0.75%,,🇨🇦 Canada
176,"Equinox Gold
",EQX,$1.37 B,$4.40,2.00%,,🇨🇦 Canada
177,Sandstorm Gold,SAND,$1.35 B,$4.56,0.65%,,🇨🇦 Canada
178,International Petroleum,IPCO.TO,$1.34 B,$10.44,3.43%,,🇨🇦 Canada
179,Killam Apartment REIT,KMP-UN.TO,$1.32 B,$11.29,0.38%,,🇨🇦 Canada
180,"Tilray
",TLRY,$1.31 B,$1.80,4.05%,,🇨🇦 Canada
181,goeasy,GSY.TO,$1.31 B,$79.26,0.60%,,🇨🇦 Canada
182,Enghouse Systems,ENGH.TO,$1.29 B,$23.46,0.68%,,🇨🇦 Canada
183,"Canadian Solar
",CSIQ,$1.29 B,$19.98,2.72%,,🇨🇦 Canada
184,Docebo,DCBO,$1.26 B,$39.28,3.18%,,🇨🇦 Canada
185,Ero Copper,ERO,$1.26 B,$13.57,0.22%,,🇨🇦 Canada
186,Headwater Exploration,HWX.TO,$1.26 B,$5.37,2.90%,,🇨🇦 Canada
187,Innergex Renewable Energy,INE.TO,$1.25 B,$6.15,2.62%,,🇨🇦 Canada
188,InterRent Real Estate Investment Trust,IIP-UN.TO,$1.24 B,$8.47,1.29%,,🇨🇦 Canada
189,"Iamgold
",IAG,$1.23 B,$2.54,1.55%,,🇨🇦 Canada
190,Canfor,CFP.TO,$1.22 B,$10.22,0.70%,,🇨🇦 Canada
191,Dundee Precious Metals,DPM.TO,$1.21 B,$6.55,1.91%,,🇨🇦 Canada
192,The North West Company,NWC.TO,$1.21 B,$25.48,1.72%,,🇨🇦 Canada
193,Ivanhoe Electric,IE,$1.20 B,$10.24,2.91%,,🇨🇦 Canada
194,Advantage Energy,AAV.TO,$1.19 B,$7.26,3.18%,,🇨🇦 Canada
195,"AbCellera
",ABCL,$1.18 B,$4.11,1.73%,,🇨🇦 Canada
196,StorageVault Canada,SVI.TO,$1.18 B,$3.10,2.05%,,🇨🇦 Canada
197,"NovaGold Resources
",NG,$1.17 B,$3.52,3.30%,,🇨🇦 Canada
198,Andlauer Healthcare Group,AND.TO,$1.17 B,$27.98,4.75%,,🇨🇦 Canada
199,"Canada Goose
",GOOS,$1.14 B,$11.10,0.80%,,🇨🇦 Canada
200,Centerra Gold,CGAU,$1.10 B,$5.08,1.93%,,🇨🇦 Canada
201,Lithium Americas,LAC,$1.07 B,$6.70,0.15%,,🇨🇦 Canada
202,Westshore Terminals Investment,WTE.TO,$1.05 B,$16.85,1.21%,,🇨🇦 Canada
203,"Aurinia Pharmaceuticals
",AUPH,$1.05 B,$7.34,0.14%,,🇨🇦 Canada
204,Trisura Group,TSU.TO,$1.04 B,$21.97,0.26%,,🇨🇦 Canada
205,MAG Silver,MAG,$1.03 B,$10.01,4.21%,,🇨🇦 Canada
206,"Ballard Power Systems
",BLDP,$0.99 B,$3.33,4.39%,,🇨🇦 Canada
207,Imax Corp,IMAX,$0.99 B,$18.21,0.05%,,🇨🇦 Canada
208,Cargojet,CJT.TO,$0.97 B,$56.92,3.33%,,🇨🇦 Canada
209,Orla Mining,ORLA,$0.96 B,$3.08,0.65%,,🇨🇦 Canada
210,Cymbria,CYB.TO,$0.96 B,$42.44,0.56%,,🇨🇦 Canada
211,"Seabridge Gold
",SA,$0.93 B,$10.96,2.49%,,🇨🇦 Canada
212,MTY Food Group,MTY.TO,$0.91 B,$37.60,0.04%,,🇨🇦 Canada
213,Badger Infrastructure Solutions,BDGI.TO,$0.91 B,$26.46,3.32%,,🇨🇦 Canada
214,"Fortuna Silver Mines
",FSM,$0.86 B,$2.81,2.43%,,🇨🇦 Canada
215,Africa Oil,AOI.TO,$0.85 B,$1.84,0.00%,,🇨🇦 Canada
216,Cardinal Energy,CJ.TO,$0.84 B,$5.35,0.00%,,🇨🇦 Canada
217,K92 Mining,KNT.TO,$0.84 B,$3.60,2.15%,,🇨🇦 Canada
218,Mullen Group,MTL.TO,$0.84 B,$9.48,1.50%,,🇨🇦 Canada
219,New Gold,NGD,$0.83 B,$1.22,1.61%,,🇨🇦 Canada
220,Laurentian Bank of Canada,LB.TO,$0.79 B,$18.30,1.44%,,🇨🇦 Canada
221,Wesdome Gold Mines,WDO.TO,$0.79 B,$5.35,2.20%,,🇨🇦 Canada
222,Precision Drilling Corporation,PDS,$0.79 B,$58.05,0.33%,,🇨🇦 Canada
223,Morguard,MRC.TO,$0.79 B,$73.14,0.96%,,🇨🇦 Canada
224,Clairvest Group,CVG.TO,$0.77 B,$51.88,0.00%,,🇨🇦 Canada
225,Patriot Battery Metals,PMET.V,$0.77 B,$7.00,6.45%,,🇨🇦 Canada
226,Sprott Inc,SII,$0.75 B,$29.03,0.69%,,🇨🇦 Canada
227,dentalcorp,DNTL.TO,$0.74 B,$3.96,0.36%,,🇨🇦 Canada
228,"SilverCrest Metals
",SILV,$0.73 B,$4.97,0.80%,,🇨🇦 Canada
229,Osisko Mining,OSK.TO,$0.73 B,$1.94,0.00%,,🇨🇦 Canada
230,Algoma Steel,ASTL,$0.72 B,$7.01,1.68%,,🇨🇦 Canada
231,NorthWest Healthcare Properties REIT,NWH-UN.TO,$0.70 B,$2.89,0.50%,,🇨🇦 Canada
232,Softchoice,SFTC.TO,$0.69 B,$11.95,2.66%,,🇨🇦 Canada
233,"Cronos Group
",CRON,$0.68 B,$1.81,2.26%,,🇨🇦 Canada
234,Jamieson Wellness,JWEL.TO,$0.68 B,$16.41,0.40%,,🇨🇦 Canada
235,Obsidian Energy,OBE,$0.68 B,$8.50,0.59%,,🇨🇦 Canada
236,New Found Gold,NFGC,$0.67 B,$3.76,12.76%,,🇨🇦 Canada
237,Transcontinental,TCL-A.TO,$0.64 B,$7.36,1.16%,,🇨🇦 Canada
238,Teekay,TK,$0.64 B,$7.03,0.43%,,🇨🇦 Canada
239,Interfor,IFP.TO,$0.63 B,$12.33,1.89%,,🇨🇦 Canada
240,TerrAscend,TSND.TO,$0.55 B,$1.59,3.76%,,🇨🇦 Canada
241,North American Construction Group,NOA,$0.55 B,$20.61,0.34%,,🇨🇦 Canada
242,Mercer International,MERC,$0.52 B,$7.94,0.50%,,🇨🇦 Canada
243,enCore Energy,EU,$0.50 B,$3.30,1.85%,,🇨🇦 Canada
244,Telesat,TSAT,$0.50 B,$10.20,0.89%,,🇨🇦 Canada
245,Enerflex,EFXT,$0.49 B,$3.98,1.73%,,🇨🇦 Canada
246,Fission Uranium,FCU.TO,$0.49 B,$0.67,8.14%,,🇨🇦 Canada
247,Hut 8 Mining,HUT,$0.48 B,$2.17,1.40%,,🇨🇦 Canada
248,Artis REIT,AX-UN.TO,$0.47 B,$4.44,0.16%,,🇨🇦 Canada
249,Zymeworks,ZYME,$0.47 B,$7.02,0.43%,,🇨🇦 Canada
250,Standard Lithium,SLI,$0.47 B,$2.72,0.74%,,🇨🇦 Canada
251,SunOpta,STKL,$0.44 B,$3.84,2.54%,,🇨🇦 Canada
252,Canopy Growth,CGC,$0.42 B,$0.57,9.22%,,🇨🇦 Canada
253,Endeavour Silver,EXK,$0.40 B,$2.14,4.46%,,🇨🇦 Canada
254,PolyMet,PLM,$0.40 B,$2.10,0.00%,,🇨🇦 Canada
255,Converge Technology Solutions,CTS.TO,$0.40 B,$1.99,0.73%,,🇨🇦 Canada
256,"Silvercorp Metals
",SVM,$0.39 B,$2.20,3.08%,,🇨🇦 Canada
257,ECN Capital,ECN.TO,$0.38 B,$1.38,2.13%,,🇨🇦 Canada
258,"Sundial Growers
",SNDL,$0.37 B,$1.44,6.67%,,🇨🇦 Canada
259,Lion Electric,LEV,$0.36 B,$1.57,1.26%,,🇨🇦 Canada
260,Skeena Resources,SKE,$0.33 B,$3.61,5.00%,,🇨🇦 Canada
261,McEwen Mining,MUX,$0.33 B,$6.93,0.14%,,🇨🇦 Canada
262,IsoEnergy,ISO.V,$0.32 B,$2.71,2.73%,,🇨🇦 Canada
263,Fusion Pharmaceuticals,FUSN,$0.31 B,$4.61,15.54%,,🇨🇦 Canada
264,"Taseko Mines
",TGB,$0.31 B,$1.08,0.92%,,🇨🇦 Canada
265,Pizza Pizza,PZA.TO,$0.30 B,$9.52,1.12%,,🇨🇦 Canada
266,Bitfarms,BITF,$0.29 B,$1.05,2.78%,,🇨🇦 Canada
267,Uranium Royalty,UROY,$0.28 B,$2.86,6.32%,,🇨🇦 Canada
268,Corby Spirit and Wine,CSW-A.TO,$0.26 B,$9.50,0.83%,,🇨🇦 Canada
269,Osisko Development,ODV,$0.26 B,$3.16,2.77%,,🇨🇦 Canada
270,HIVE Blockchain Technologies,HIVE,$0.26 B,$3.06,3.73%,,🇨🇦 Canada
271,New Pacific Metals,NEWP,$0.26 B,$1.52,6.75%,,🇨🇦 Canada
272,TMC the metals company,TMC,$0.25 B,$0.82,1.01%,,🇨🇦 Canada
273,The Real Brokerage,REAX,$0.24 B,$1.38,4.83%,,🇨🇦 Canada
274,Li-Cycle,LICY,$0.23 B,$1.34,11.67%,,🇨🇦 Canada
275,Vizsla Silver,VZLA,$0.22 B,$1.02,5.96%,,🇨🇦 Canada
276,"Arizona Metals
",AMC.TO,$0.21 B,$1.89,0.00%,,🇨🇦 Canada
277,Kingsway Financial Services,KFS,$0.20 B,$7.72,0.78%,,🇨🇦 Canada
278,Gran Tierra Energy,GTE,$0.20 B,$6.12,0.82%,,🇨🇦 Canada
279,ESSA Pharma,EPIX,$0.20 B,$4.65,3.33%,,🇨🇦 Canada
280,Cybin,CYBN,$0.20 B,$0.65,6.71%,,🇨🇦 Canada
281,Western Copper and Gold,WRN,$0.19 B,$1.22,1.22%,,🇨🇦 Canada
282,VersaBank,VBNK,$0.19 B,$7.65,2.96%,,🇨🇦 Canada
283,"EMX Royalty
",EMX,$0.19 B,$1.75,0.00%,,🇨🇦 Canada
284,Aurora Cannabis,ACB,$0.18 B,$0.44,0.78%,,🇨🇦 Canada
285,Gold Royalty Corp,GROY,$0.18 B,$1.28,1.54%,,🇨🇦 Canada
286,Tidewater Renewables,LCFS.TO,$0.18 B,$5.30,1.87%,,🇨🇦 Canada
287,Tucows,TCX,$0.18 B,$16.89,0.42%,,🇨🇦 Canada
288,Profound Medical,PROF,$0.17 B,$8.31,2.59%,,🇨🇦 Canada
289,Marathon Gold,MOZ.TO,$0.17 B,$0.43,1.69%,,🇨🇦 Canada
290,Northern Dynasty Minerals,NAK,$0.17 B,$0.32,3.30%,,🇨🇦 Canada
291,ReconAfrica,0XD.F,$0.15 B,$0.71,2.84%,,🇨🇦 Canada
292,Nouveau Monde Graphite,NMG,$0.15 B,$2.50,7.30%,,🇨🇦 Canada
293,"City Office REIT
",CIO,$0.15 B,$3.81,1.33%,,🇨🇦 Canada
294,"Loop Industries
",LOOP,$0.15 B,$3.19,10.38%,,🇨🇦 Canada
295,Largo,LGO,$0.15 B,$2.35,2.17%,,🇨🇦 Canada
296,Metalla Royalty & Streaming,MTA,$0.14 B,$2.78,3.14%,,🇨🇦 Canada
297,Repare Therapeutics,RPTX,$0.14 B,$3.40,5.59%,,🇨🇦 Canada
298,GoldMining Inc.,GLDG,$0.13 B,$0.78,1.21%,,🇨🇦 Canada
299,Zentek,ZTEK,$0.13 B,$1.35,2.69%,,🇨🇦 Canada
300,Alithya Group,ALYA,$0.13 B,$1.39,0.00%,,🇨🇦 Canada
301,Sylogist,SYZ.TO,$0.12 B,$5.22,0.56%,,🇨🇦 Canada
302,"Andrew Peller
",ADW-A.TO,$0.12 B,$2.67,0.27%,,🇨🇦 Canada
303,"Oncolytics Biotech
",ONCY,$0.12 B,$1.66,5.73%,,🇨🇦 Canada
304,Galiano Gold,GAU,$0.11 B,$0.53,3.15%,,🇨🇦 Canada
