,Company Name,Company Code,Market Cap,Price,Today's Change,Price (30 days),Country
133,Pioneer Natural Resources,PXD,$55.72 B,$239.00,0.04%,,🇺🇸 USA
134,O'Reilly Automotive,ORLY,$55.47 B,$930.44,0.03%,,🇺🇸 USA
135,Workday,WDAY,$55.46 B,$211.71,2.18%,,🇺🇸 USA
136,Southern Copper,SCCO,$54.81 B,$70.90,1.23%,,🇺🇸 USA
137,Occidental Petroleum,OXY,$54.68 B,$61.81,0.23%,,🇺🇸 USA
138,Monster Beverage,MNST,$53.52 B,$51.10,0.83%,,🇺🇸 USA
139,Chipotle Mexican Grill,CMG,$53.30 B,"$1,942",1.72%,,🇺🇸 USA
140,Roper Technologies,ROP,$52.13 B,$488.57,0.78%,,🇺🇸 USA
141,Cintas,CTAS,$51.65 B,$507.12,0.86%,,🇺🇸 USA
142,Target,TGT,$51.14 B,$110.79,1.95%,,🇺🇸 USA
143,Emerson,EMR,$50.84 B,$88.97,0.59%,,🇺🇸 USA
144,"Arthur J. Gallagher & Co.
",AJG,$50.84 B,$235.49,0.75%,,🇺🇸 USA
145,3M,MMM,$50.23 B,$90.95,1.60%,,🇺🇸 USA
146,Phillips 66,PSX,$50.19 B,$114.07,1.45%,,🇺🇸 USA
147,U.S. Bancorp,USB,$49.63 B,$31.88,1.82%,,🇺🇸 USA
148,Freeport-McMoRan,FCX,$48.42 B,$33.78,0.76%,,🇺🇸 USA
149,Dell,DELL,$48.40 B,$66.91,0.72%,,🇺🇸 USA
150,Amphenol,APH,$48.19 B,$80.55,0.71%,,🇺🇸 USA
151,Snowflake,SNOW,$47.84 B,$145.13,0.67%,,🇺🇸 USA
152,Ecolab,ECL,$47.81 B,$167.74,5.40%,,🇺🇸 USA
153,"Parker-Hannifin
",PH,$47.40 B,$368.91,0.17%,,🇺🇸 USA
154,"Republic Services
",RSG,$46.72 B,$148.49,0.84%,,🇺🇸 USA
155,"Motorola Solutions
",MSI,$46.50 B,$278.46,0.81%,,🇺🇸 USA
156,Aflac,AFL,$46.40 B,$78.11,0.92%,,🇺🇸 USA
157,Estee Lauder,EL,$46.11 B,$128.87,0.70%,,🇺🇸 USA
158,TransDigm,TDG,$45.69 B,$828.09,1.03%,,🇺🇸 USA
159,PNC Financial Services,PNC,$45.59 B,$114.47,1.40%,,🇺🇸 USA
160,MetLife,MET,$45.12 B,$60.01,0.99%,,🇺🇸 USA
161,Fortinet,FTNT,$44.89 B,$57.17,1.51%,,🇺🇸 USA
162,"Welltower
",WELL,$44.81 B,$83.61,2.13%,,🇺🇸 USA
163,Hess,HES,$44.35 B,$144.40,0.53%,,🇺🇸 USA
164,Sempra Energy,SRE,$44.07 B,$70.03,0.78%,,🇺🇸 USA
165,"Apollo Global Management
",APO,$43.90 B,$77.44,3.39%,,🇺🇸 USA
166,AutoZone,AZO,$43.80 B,"$2,477",0.30%,,🇺🇸 USA
167,American International Group,AIG,$43.64 B,$61.31,0.51%,,🇺🇸 USA
168,Valero Energy,VLO,$43.23 B,$127.00,2.22%,,🇺🇸 USA
169,Paccar,PCAR,$43.17 B,$82.53,1.30%,,🇺🇸 USA
170,Norfolk Southern,NSC,$43.14 B,$190.79,1.72%,,🇺🇸 USA
171,Constellation Brands,STZ,$43.01 B,$234.15,0.02%,,🇺🇸 USA
172,Keurig Dr Pepper,KDP,$42.41 B,$30.33,1.03%,,🇺🇸 USA
173,Autodesk,ADSK,$42.24 B,$197.63,0.08%,,🇺🇸 USA
